#,PLANTA,FRUTO,SEVERIDAD (%),"Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP)","Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP)","RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP)","Dew Point (S-THC 21246400:21262596-3), *C, PATFA1 (INIAP)","Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP)","Gust Speed (S-WSB 21246400:21262656-2), m/s, PATFA1 (INIAP)","Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP)",INCIDENCIA,
46,PL005,6,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
47,PL005,7,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
48,PL005,8,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
49,PL005,9,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
50,PL005,10,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
51,PL006,1,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
52,PL006,2,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
53,PL006,3,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
54,PL006,4,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
55,PL006,5,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
56,PL006,6,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
57,PL006,7,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
58,PL006,8,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
59,PL006,9,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
60,PL006,10,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
61,PL007,1,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
62,PL007,2,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
63,PL007,3,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
64,PL007,4,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
65,PL007,5,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
66,PL007,6,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
67,PL007,7,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
68,PL007,8,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0,
