classes,functions,duplicated_lines,complexity,comment_lines,files,lines,statements,bugs,Toxicos
2171,13051,5709,18717,24112,1881,210273,30695,94,2
2171,13051,5709,18717,24112,1881,210273,30695,94,2
2171,13051,5709,18717,24112,1881,210273,30695,94,2
0,0,0,0,0,0,0,0,0,1
2171,13051,5709,18717,24112,1881,210273,30695,94,2
2171,13050,5709,18715,24113,1881,210265,30695,94,2
2171,13050,5709,18715,24089,1879,210130,30695,94,2
2171,13050,5709,18715,24089,1879,210130,30695,94,2
2171,13050,5709,18715,24088,1879,210121,30695,94,2
0,0,0,0,0,0,0,0,0,1
773,3914,949,5950,8584,1031,93976,17440,46,1
737,3755,933,5637,8100,994,90613,16536,46,1
735,3740,925,5610,8054,990,83697,16394,46,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
734,3734,928,5571,8051,990,83485,16318,46,1
464,2764,1077,4343,7184,710,71122,12209,42,1
456,2719,1072,4268,6989,700,70029,12066,38,1
456,2712,1074,4258,6969,700,69950,12040,37,1
455,2702,1066,4236,6932,699,69698,11973,47,1
475,2748,1233,4307,7130,719,70020,12028,41,1
440,2511,1006,3931,6836,683,66062,11064,38,1
435,2428,742,3818,6659,680,64841,10766,102,1
435,2428,742,3817,6485,680,64843,10760,90,1
432,2418,748,3799,6450,677,64614,10684,90,1
412,2209,750,3459,6043,669,60541,9837,46,1
413,2210,876,3471,5993,669,60195,9840,46,1
390,2085,732,3318,6521,853,83166,9677,46,1
389,2076,732,3295,6465,852,82928,9620,46,1
374,2057,731,3274,6411,822,79772,9434,47,1
332,1852,595,3035,5913,773,72345,8752,49,1
331,1849,595,3029,5907,772,72300,8742,49,1
331,1849,595,3029,5907,772,72298,8742,49,1
300,1667,569,2733,5291,725,68152,8047,55,1
300,1667,575,2733,5304,725,68102,8032,55,1
297,1662,575,2722,5281,722,67844,7968,55,1
281,1570,575,2580,5008,687,61980,7623,0,1
281,1570,575,2580,5008,687,61980,7623,0,1
255,1507,523,2453,4716,638,57863,7180,0,1
250,1467,520,2390,4582,615,55542,6983,0,1
248,1425,520,2344,4563,616,54636,6862,0,1
248,1425,520,2342,4561,616,54615,6855,4,1
242,1288,568,2172,4146,590,49518,6359,0,1
243,1289,568,2168,4148,591,49432,6264,0,1
242,1284,565,2123,4119,580,48553,6148,0,1
224,1238,565,2043,3967,556,47267,5895,0,1
223,1231,565,2008,3937,554,46953,5814,0,1
217,1180,571,1883,3776,545,45460,5495,0,1
0,0,0,0,0,0,0,0,0,1
1412,11653,9900,19828,4170,1182,154340,38353,0,2
1406,11564,9906,19681,4131,1177,153290,38102,0,2
0,0,0,0,0,0,0,0,0,1
1398,11283,7674,18994,3837,1169,149471,36847,0,2
1398,11275,7695,18975,3833,1169,149369,36818,0,2
1388,11224,7663,18856,3884,1162,148431,36508,0,2
1384,11186,7642,18799,3876,1159,147954,36379,0,2
1384,11186,7642,18814,3876,1159,147961,36383,0,2
1297,10324,7154,17592,3335,1092,138672,34514,22,2
1297,10322,7154,17583,3333,1092,138626,34493,22,2
1293,10264,7118,17485,3299,1089,138048,34358,0,2
1293,10258,7122,17472,3289,1089,137981,34343,2,2
1294,10271,7131,17486,3272,1090,137994,34331,2,2
1293,10326,12055,17681,3328,1091,138900,34740,28,2
0,0,0,0,0,0,0,0,0,1
1262,10156,13119,17582,4182,1067,138746,34750,30,2
1262,10150,13099,17565,4195,1067,130204,34720,30,2
1262,10143,13099,17558,4198,1067,130154,34706,30,2
1262,10143,13099,17553,4198,1067,130146,34702,30,2
0,0,0,0,0,0,0,0,0,1
623,4602,470,9395,5782,741,128317,19495,6,2
609,4581,470,9382,5735,727,126100,19469,5,2
600,4500,410,9242,5697,715,124675,19188,5,2
591,5230,410,10821,5877,737,127627,22556,5,2
583,5128,476,10595,5856,727,126154,22332,4,2
583,5128,476,10595,5837,726,125293,22332,4,2
583,5117,432,10554,5832,726,125064,22222,3,2
618,5280,568,10869,5849,753,127705,23308,12,2
621,5240,443,10669,5815,758,125744,22674,23,2
0,0,0,0,0,0,0,0,0,1
1472,10458,48646,19994,65427,2862,511882,52796,451,0
1472,10458,48646,19994,65427,2861,511790,52796,434,0
1472,10458,48646,19994,65427,2861,511790,52796,434,0
1472,10458,48646,19994,65428,2861,511795,52796,432,0
1472,10458,48646,19994,65428,2861,511795,52797,421,0
0,0,0,0,0,0,0,0,0,1
8921,78753,110835,134487,131178,8365,1359155,273599,2765,0
8760,77215,106026,131795,130072,8265,1337486,268167,2721,0
8653,75919,107810,129672,129400,8160,1320642,264867,2657,0
7799,62368,60295,105626,111712,7726,1150350,218101,2600,0
0,0,0,0,0,0,0,0,0,1
476,5827,56112,15600,13159,550,285342,52164,77,0
611,7513,135,16064,15350,1022,138027,127098,0,2
611,7552,135,16128,15410,1022,138408,127191,0,2
611,7544,135,16120,15400,1022,138357,127180,0,2
596,7450,204,16000,15016,1007,136188,125644,0,2
566,7087,236,15457,14345,973,131258,105788,0,2
562,7123,328,15701,14556,1000,132784,103791,0,2
562,7123,328,15701,14556,1000,132784,103791,0,2
0,0,0,0,0,0,0,0,0,1
1114,10530,5960,18505,15088,1689,242817,39312,1299,2
1114,10530,5960,18505,15088,1689,242817,39312,1299,2
1114,10530,5960,18505,15088,1689,242817,39312,1299,2
1114,10530,5960,18505,15088,1689,242812,39309,1299,2
