classes,ncloc,functions,duplicated_lines,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,file_complexity,violations,duplicated_blocks,duplicated_files,lines,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,Toxico
2356,133169,14383,7350,270,71.4,20526,26817,16.8,3.2,2007,12.3,2551,272,166,229031,33648,65,306,1211,861,108,47370,72,11115,68.7,26669,1,52,2551,0,0,0.7,0.453167385,2459,92,0,1304,5,0,1,7303,62670,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2320,131986,14204,7140,270,71.3,20313,26471,16.7,3.1,1990,12.3,2530,266,161,226838,33356,65,306,1201,850,108,46937,72,11057,68.6,26433,1,52,2530,0,0,0.7,0.07301935,2440,90,0,1264,5,0,1,7268,54780,0,1,0
2320,131824,14204,7113,270,71.3,20313,26469,16.7,3.1,1990,12.3,2535,264,159,226672,33356,65,306,1206,850,108,46937,71.9,11057,68.6,26428,1,52,2535,0,0,0.7,0.0039801,2445,90,0,1264,5,0,1,7268,50250,0,1,0
2320,131823,14204,7113,270,71.3,20313,26469,16.7,3.1,1990,12.3,2535,264,159,226671,33356,65,306,1206,850,108,46937,71.9,11057,68.6,26428,1,52,2535,0,0,0.7,0.0039801,2445,90,0,1264,5,0,1,7268,50250,0,1,0
2320,131767,14200,7113,270,71.3,20294,26468,16.7,3.1,1990,12.3,2535,264,159,226608,33330,65,306,1206,850,108,46906,71.9,11039,68.5,26428,1,52,2535,0,0,0.7,0.004120313,2445,90,0,1264,5,0,1,7257,48540,0,1,0
2320,131773,14200,7113,270,71.3,20296,26469,16.7,3.1,1990,12.3,2535,264,159,226615,33334,65,306,1206,850,108,46909,71.9,11041,68.5,26428,1,52,2535,0,0,0.7,0.003898635,2445,90,0,1264,5,0,1,7259,51300,0,1,0
2296,130619,14010,7113,262,71.1,20071,26190,16.7,3.2,1981,12.2,2522,264,159,224587,32973,65,306,1195,851,105,46417,71.9,10943,68.1,26336,1,52,2522,0,0,0.7,0,2432,90,0,1264,5,0,1,7203,13170,0,1,0
2296,130619,14010,7113,262,71.1,20071,26190,16.7,3.2,1981,12.2,2522,264,159,224587,32973,65,306,1195,851,105,46417,71.9,10943,68,26336,1,52,2522,0,0,0.7,0.178015131,2432,90,0,1264,5,0,1,7203,22470,0,1,0
2296,130619,14010,7113,262,71.1,20071,26190,16.7,3.2,1981,12.2,2522,264,159,224587,32973,65,306,1195,851,105,46417,71.9,10943,68,26336,1,52,2522,0,0,0.7,0.342759212,2432,90,0,1264,5,0,1,7203,23340,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2296,130541,14009,7113,262,71.1,20061,26178,16.7,3.2,1980,12.2,2520,264,159,224489,32960,65,305,1194,851,105,46404,71.9,10939,68.1,26296,1,52,2520,0,0,0.7,0.196367207,2430,90,0,1264,5,0,1,7196,20370,0,1,0
2296,130541,14009,7113,262,71.1,20061,26178,16.7,3.2,1980,12.2,2520,264,159,224489,32960,65,305,1194,851,105,46404,71.9,10939,68,26296,1,52,2520,0,0,0.7,0.171600172,2430,90,0,1264,5,0,1,7196,23310,0,1,0
2293,130359,13981,6899,262,71.1,20021,26083,16.7,3.1,1978,12.2,2517,257,158,224093,32900,65,305,1192,850,105,46324,71.8,10913,68,26206,1,51,2517,0,0,0.7,0,2427,90,0,1264,5,0,1,7187,14040,0,1,0
2293,130359,13981,6899,262,71.1,20021,26083,16.7,3.1,1978,12.2,2517,257,158,224093,32900,65,305,1192,850,105,46324,71.8,10913,68,26206,1,51,2517,0,0,0.7,0,2427,90,0,1264,5,0,1,7187,14910,0,1,0
2293,130329,13977,6949,262,71.1,20011,26062,16.7,3.1,1978,12.2,2516,257,158,224024,32886,65,304,1192,850,105,46308,71.8,10897,68.1,26200,1,51,2516,0,0,0.7,0,2426,90,0,1264,5,0,1,7181,16980,0,1,0
2293,130229,13977,6949,262,71.2,20011,26038,16.7,3.1,1976,12.2,2514,257,158,223890,32886,65,304,1191,849,105,46308,71.9,10897,68.2,26190,1,51,2514,0,0,0.7,0,2424,90,0,1264,5,0,1,7181,14490,0,1,0
2293,130229,13977,6949,262,71.1,20011,26038,16.7,3.1,1976,12.2,2514,257,158,223890,32886,65,304,1191,849,105,46308,71.8,10897,68.1,26190,1,51,2514,0,0,0.7,0,2424,90,0,1264,5,0,1,7181,14940,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2293,130107,13974,6949,262,71.1,20002,26014,16.7,3.1,1974,12.2,2514,257,158,223730,32874,65,304,1191,849,105,46295,71.9,10881,68.1,26190,1,51,2514,0,0,0.7,0.191256831,2424,90,0,1264,5,0,1,7175,18300,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2293,130095,13973,6949,262,71.1,20001,26013,16.7,3.1,1974,12.2,2514,257,158,223712,32871,65,304,1191,849,105,46291,71.8,10881,68.1,26190,1,51,2514,0,0,0.7,1.055473736,2424,90,0,1264,5,0,1,7175,20370,0,1,0
