Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
47,2.764705882,725,9,3.330249769,0
0,0.0,678,0,0.0,0
158,5.642857143,12718,9,2.094585969,2
660,3.28358209,12560,29,0.295749812,2
0,0.0,11900,0,0.0,2
59,5.9,11900,8,3.629865606,2
172,4.526315789,11841,16,1.089251449,2
94,13.42857143,11669,9,2.614189238,2
90,6.923076923,11575,13,1.805903331,2
1214,4.00660066,11485,48,0.162292813,2
2,2.0,10271,1,100.0,2
41,1.205882353,10269,10,4.451451359,2
100,2.380952381,10228,13,2.212739131,2
56,3.733333333,10128,11,3.198378783,2
226,8.692307692,10072,13,1.345340615,2
882,3.753191489,9846,49,0.241631437,2
0,0.0,8964,0,0.0,2
117,3.65625,8964,15,1.618143201,2
50,3.333333333,8847,10,4.270706456,2
59,4.214285714,8797,8,3.221969001,2
18,9.0,8738,4,14.10934744,2
0,0.0,8720,0,0.0,2
121,1.21,3371,2,41.80042347,0
85,0.634328358,3250,3,2.910475255,0
132,1.404255319,3165,3,4.123978732,0
135,1.849315068,3033,2,7.133058985,0
64,1.939393939,2898,2,26.3671875,0
37,0.493333333,2834,2,10.22644266,0
159,3.533333333,2797,5,1.412387673,0
250,1.923076923,2638,4,0.777832402,0
98,0.640522876,2388,1,100.0,0
0,0.0,2290,0,0.0,0
45,0.115089514,719,3,8.595041322,0
6,0.428571429,674,3,22.22222222,0
17,0.186813187,668,5,11.02941176,0
4,0.173913043,651,2,37.5,0
15,1.875,647,7,8.615384615,0
0,0.0,632,0,0.0,0
1375,7.857142857,48781,30,0.227570725,1
745,3.941798942,47406,26,0.546748632,1
1778,6.047619048,46661,29,0.232471361,1
828,5.830985915,44883,18,0.65770756,1
0,0.0,44055,0,0.0,1
385,0.736137667,2082,32,0.415934212,0
28,1.555555556,33494,5,9.301659989,1
11,11.0,33466,2,29.75206612,1
270,3.176470588,33455,9,1.874811193,1
729,6.813084112,33185,7,1.808458128,1
754,7.32038835,32456,12,0.53832036,1
17,17.0,31702,3,33.08823529,1
1256,3.96214511,31685,18,0.188027519,1
0,0.0,30429,0,0.0,1
0,0.0,4847,0,0.0,2
0,0.0,4847,0,0.0,2
0,0.0,4847,0,0.0,2
0,0.0,4847,0,0.0,2
2,0.5,4847,1,100.0,2
6,1.5,4845,5,18.51851852,2
3,0.428571429,4839,3,33.33333333,2
0,0.0,4836,0,0.0,2
1,0.142857143,4836,1,100.0,2
0,0.0,4835,0,0.0,2
2,0.5,4835,2,50.0,2
0,0.0,4833,0,0.0,2
0,0.0,4833,0,0.0,2
0,0.0,4833,0,0.0,2
0,0.0,4833,0,0.0,2
3,0.75,4833,2,44.44444444,2
3,1.0,4830,2,44.44444444,2
4,1.0,4827,1,100.0,2
2,0.285714286,4823,2,50.0,2
1,0.333333333,4821,1,100.0,2
2,0.5,4820,1,100.0,2
1,0.333333333,4818,1,100.0,2
1,0.25,4817,1,100.0,2
