Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight
51,1.821428571,1413,11,3.256931072
103,2.641025641,1362,11,1.400896432
8,1.333333333,1259,3,22.05882353
18,6,1251,3,13.48314607
68,1.789473684,1233,15,2.164454842
7,3.5,1165,3,25.71428571
11,5.5,1158,4,13.75921376
66,2.357142857,1147,17,2.135022422
14,2.8,1081,4,16.32653061
19,1.9,1067,3,26.72064777
39,1.695652174,1048,7,4.812249362
2,2,1009,1,100
43,2.263157895,1007,4,7.326576854
26,3.25,964,5,8.01137546
34,2.428571429,938,6,6.533127576
12,6,904,6,11.9047619
53,1.65625,892,12,2.455199474
9,1.125,839,2,49.38271605
29,2.071428571,830,5,10.58423285
42,2.470588235,801,11,3.813906575
34,3.4,759,7,5.256570713
47,2.764705882,725,9,3.330249769
0,0,678,0,0
158,5.642857143,12718,9,2.094585969
660,3.28358209,12560,29,0.295749812
0,0,11900,0,0
59,5.9,11900,8,3.629865606
172,4.526315789,11841,16,1.089251449
94,13.42857143,11669,9,2.614189238
90,6.923076923,11575,13,1.805903331
1214,4.00660066,11485,48,0.162292813
2,2,10271,1,100
41,1.205882353,10269,10,4.451451359
100,2.380952381,10228,13,2.212739131
56,3.733333333,10128,11,3.198378783
226,8.692307692,10072,13,1.345340615
882,3.753191489,9846,49,0.241631437
0,0,8964,0,0
117,3.65625,8964,15,1.618143201
50,3.333333333,8847,10,4.270706456
59,4.214285714,8797,8,3.221969001
18,9,8738,4,14.10934744
0,0,8720,0,0
121,1.21,3371,2,41.80042347
85,0.634328358,3250,3,2.910475255
132,1.404255319,3165,3,4.123978732
135,1.849315068,3033,2,7.133058985
64,1.939393939,2898,2,26.3671875
37,0.493333333,2834,2,10.22644266
159,3.533333333,2797,5,1.412387673
250,1.923076923,2638,4,0.777832402
98,0.640522876,2388,1,100
0,0,2290,0,0
45,0.115089514,719,3,8.595041322
6,0.428571429,674,3,22.22222222
17,0.186813187,668,5,11.02941176
4,0.173913043,651,2,37.5
15,1.875,647,7,8.615384615
0,0,632,0,0
1375,7.857142857,48781,30,0.227570725
745,3.941798942,47406,26,0.546748632
1778,6.047619048,46661,29,0.232471361
828,5.830985915,44883,18,0.65770756
0,0,44055,0,0
385,0.736137667,2082,32,0.415934212
28,1.555555556,33494,5,9.301659989
11,11,33466,2,29.75206612
270,3.176470588,33455,9,1.874811193
729,6.813084112,33185,7,1.808458128
754,7.32038835,32456,12,0.53832036
17,17,31702,3,33.08823529
1256,3.96214511,31685,18,0.188027519
0,0,30429,0,0
0,0,4847,0,0
0,0,4847,0,0
0,0,4847,0,0
0,0,4847,0,0
2,0.5,4847,1,100
6,1.5,4845,5,18.51851852
3,0.428571429,4839,3,33.33333333
0,0,4836,0,0
1,0.142857143,4836,1,100
0,0,4835,0,0
2,0.5,4835,2,50
0,0,4833,0,0
0,0,4833,0,0
0,0,4833,0,0
0,0,4833,0,0
3,0.75,4833,2,44.44444444
3,1,4830,2,44.44444444
4,1,4827,1,100
2,0.285714286,4823,2,50
1,0.333333333,4821,1,100
2,0.5,4820,1,100
1,0.333333333,4818,1,100
1,0.25,4817,1,100
1,1,4816,1,100
2,2,4815,2,50
0,0,4813,0,0
1,0.25,4813,1,100
3,1,4812,2,44.44444444
1,0.25,4809,1,100
2,2,4808,2,50
2,2,4806,1,100
0,0,4804,0,0
4,1,4804,3,30
2,0.666666667,4800,2,50
0,0,4798,0,0
2,1,4798,2,50
2,1,4796,2,50
0,0,4794,0,0
0,0,4794,0,0
0,0,4794,0,0
0,0,4794,0,0
2,0.666666667,4794,2,50
1,0.2,4792,1,100
1,0.5,4791,1,100
0,0,4790,0,0
0,0,4790,0,0
0,0,4790,0,0
6,1,4790,4,22.22222222
0,0,4784,0,0
0,0,4784,0,0
3,0.6,4784,2,44.44444444
0,0,4781,0,0
0,0,4781,0,0
0,0,4781,0,0
1,1,4781,1,100
3,0.5,4780,2,44.44444444
2,2,4777,1,100
0,0,4775,0,0
0,0,4775,0,0
0,0,4775,0,0
3,1.5,4775,2,44.44444444
0,0,4772,0,0
3,3,4772,3,33.33333333
2,0.5,4769,2,50
1,0.25,4767,1,100
2,0.666666667,4766,2,50
3,0.75,4764,3,33.33333333
1,0.333333333,4761,1,100
7,0.538461538,4760,4,17.58241758
1,0.125,4753,1,100
0,0,4752,0,0
2,1,4752,1,100
1,1,4750,1,100
1,0.25,4749,1,100
11,0.34375,4748,3,27.27272727
0,0,4737,0,0
1,0.333333333,4737,1,100
3,0.214285714,4736,2,44.44444444
1,0.333333333,4733,1,100
1,1,4732,1,100
1,1,4731,1,100
